Food,Grams,Calories,Protein,Fat,Carbs
Cows' milk,100,67.62,3.28,4.1,4.92
Buttermilk,100,51.63,3.66,2.03,5.28
"Evaporated, undiluted",100,136.9,6.35,7.94,9.52
Powdered milk,100,500.0,26.21,27.18,37.86
Goats' milk,100,67.62,3.28,4.1,4.51
(1/2 cup ice cream),100,127.78,4.44,4.44,12.96
Cocoa,100,93.25,3.17,4.37,10.32
skim. milk,100,51.2,7.2,1.6,5.2
(cornstarch),100,110.89,3.63,4.03,16.13
Custard,100,114.92,5.24,5.65,11.29
Ice cream,100,159.57,3.19,9.57,15.43
Ice milk,100,144.74,4.74,5.26,16.84
Cream or half-and-half,100,141.67,3.33,12.5,4.17
or whipping,100,361.34,1.68,36.97,2.52
Cheese,100,106.67,13.33,4.89,2.67
"Cheddar, grated cup",100,403.57,25.0,33.93,1.79
Cream cheese,100,375.0,7.14,39.29,3.57
Egg(large),1,99,8,7,0.78
Egg(small),1,80,6.3,5.2,0.56
Butter,100,100.89,101.79,102.68,105.36
Hydrogenated cooking fat,100,665.0,0.0,100.0,0.0
Lard,100,901.82,0.0,100.0,0.0
Corn oil,100,892.86,0.0,100.0,0.0
Olive oil,100,892.86,0.0,100.0,0.0
Safflower seed oil,100,892.86,0.0,100.0,0.0
Salt pork,100,783.33,5.0,91.67,0.0
Bacon,100,593.75,25.0,50.0,6.25
Beef,100,288.24,27.06,18.82,0.0
Hamburger,100,288.24,24.71,20.0,0.0
Ground lean,100,217.65,28.24,11.76,0.0
Roast beef,100,458.82,18.82,42.35,0.0
Steak,100,388.24,23.53,31.76,0.0
"Steak, lean, as round",100,258.82,28.24,14.12,0.0
Corned beef,100,217.65,25.88,11.76,0.0
Corned beef hash canned,100,141.18,14.12,9.41,7.06
Corned beef hash Dried,100,205.36,33.93,7.14,0.0
Pot-pie,100,211.45,7.93,12.33,14.1
Corned beef hash Stew,100,78.72,6.38,4.26,6.38
chicken,100,217.65,27.06,10.59,0.0
"raw, breast or leg and thigh chicken",100,120,22.5,2.6,0.0
Roasted chicken,100,290.0,25.0,20.0,0.0
"Chicken livers, fried",100,140.0,22.0,14.0,2.3
"Duck, domestic",100,370.0,16.0,28.0,0.0
"Lamb, chop, broiled",100,417.39,20.87,30.43,0.0
Leg roasted,100,365.12,23.26,16.28,0.0
"Shoulder, braised",100,335.29,21.18,27.06,0.0
"Pork, chop, 1 thick",100,260.0,16.0,21.0,0.0
Ham pan-broiled,100,341.18,18.82,25.88,0.0
"Ham, as ",100,298.25,22.81,22.81,0.0
"Ham, canned, spiced",100,289.47,14.04,24.56,1.75
Pork roast,100,364.71,24.71,28.24,0.0
Pork sausage,100,475.0,18.0,44.0,0.0
Turkey,100,265.0,27.0,15.0,0.0
Veal,100,217.65,27.06,10.59,0.0
Roast,100,358.82,15.29,16.47,0.0
Clams,100,102.35,14.12,1.18,2.35
Cod,100,170.0,28.0,5.0,0.0
Crab meat,100,105.88,16.47,2.35,1.18
Fish sticks fried,100,178.57,16.96,8.93,7.14
Flounder,100,200.0,30.0,8.0,0.0
Haddock,100,158.82,18.82,5.88,7.06
Halibut,100,182.0,26.0,8.0,0.0
Herring,100,211.0,22.0,13.0,0.0
Mackerel,100,182.35,21.18,10.59,0.0
Oysters,100,100.43,100.87,101.3,102.61
Oyster stew,100,147.06,22.35,7.06,0.0
Salmon,100,141.18,20.0,5.88,0.0
Sardines,100,211.76,25.88,10.59,0.0
Scallops,100,104.0,18.0,8.0,10.0
Shad,100,200.0,23.53,11.76,0.0
Shrimp,100,129.41,27.06,1.18,0.0
Swordfish,100,180.0,27.0,6.0,0.0
Tuna,100,127,23.8,3,0.0
"Navy, baked with pork",100,125.0,5.5,3.0,18.5
Red kidney,100,88.46,5.77,0.38,16.15
Beetroots,100,0.61,7.27,0.0,0.48
Corn,100,92.0,3.0,1.0,21.0
Dandelion greens,100,44.44,2.78,0.56,8.89
Kale,100,40.91,3.64,0.91,7.27
Parsnips,100,61.29,1.29,0.65,14.19
Peppers with beef and crumbs,100,170.0,12.67,6.0,16.0
French-fried,100,258.33,-1.67,11.67,33.33
Potatoes Mashed with milk and butter,100,115.0,2.0,6.0,14.0
"Potatoes, pan-tried",100,268.0,4.0,14.0,33.0
Scalloped with cheese potatoes,100,145.0,6.0,8.0,14.0
Potato,100,75,2.2,0.1,15.4
Soybeans,100,130.0,11.0,5.5,10.0
Sweet potatoes,100,140.91,1.82,0.91,32.73
Candied,100,134.29,1.14,3.43,45.71
Turnip greens,100,31.03,2.76,0.69,5.52
Avocado,100,171.3,1.85,16.67,5.56
Blackberries,100,59.03,1.39,0.69,13.19
Cherries,100,38.91,0.78,0.39,10.12
Olives oil,100,884,0,100,0.0
OlivesRipe,100,161.54,1.54,20.0,1.54
"Raw, 3 by 2V",100,54.95,0.55,0.55,13.74
Prunes,100,111.11,1.11,0.37,30.0
Watermelon,100,12.97,0.22,0.11,3.14
Biscuits,100,342.11,7.89,10.53,47.37
"Bread, cracked wheat",100,260.87,8.7,4.35,52.17
Rye,100,239.13,8.7,4.35,52.17
Whole-wheat,100,239.13,8.7,4.35,47.83
Corn bread ground meal,100,200.0,6.0,8.0,30.0
Corn meal,100,305.08,7.63,3.39,62.71
Crackers,100,392.86,7.14,7.14,71.43
"Soda, 2 1/2 square",100,409.09,9.09,9.09,72.73
Flour,100,418.18,35.45,20.0,30.0
Wheat (all purpose),100,363.64,10.91,0.91,76.36
Wheat (whole),100,325.0,10.83,1.67,65.83
Macaroni,100,110.71,3.57,0.71,22.86
Baked with cheese,100,215.91,8.18,11.36,20.0
Muffins,100,281.25,8.33,10.42,39.58
Noodles,100,125.0,4.38,1.25,23.12
Oatmeal,100,63.56,2.12,1.27,11.02
"Pancakes 4"" diam.",100,231.48,6.48,8.33,25.93
"Wheat, pancakes 4"" diam.",100,231.48,6.48,8.33,25.93
"Pizza 14"" diam.",100,240.0,10.67,8.0,30.67
Popcorn salted,100,542.86,10.71,25.0,71.43
White rice,100,130,2.7,0.3,28
Rolls,100,822.0,6.0,24.0,46.0
of refined flour,100,302.63,7.89,5.26,52.63
whole-wheat,100,255.0,10.0,2.5,50.0
White pasta,100,350,12.5,1.6,72
Whole-wheat pasta,100,340,12.5,2,68
with tomatoes and cheese,100,84.0,2.4,2.0,14.4
Spanish rice,100,86.8,1.6,1.6,16.0
Shredded wheat biscuit,100,357.14,10.71,3.57,82.14
Waffles,100,320.0,10.67,12.0,40.0
Wheat germ,100,360.29,25.0,10.29,50.0
Wheat-germ cereal toasted,100,400.0,30.77,10.77,55.38
Wheat meal cereal unrefined,100,343.33,13.33,3.33,83.33
"Wheat, cooked",100,137.5,6.0,0.5,17.5
Bean soups,100,76.0,3.2,2.0,12.0
Beef soup,100,40.0,2.4,1.6,4.4
Bouillon,100,10.0,2.08,0.0,0.0
chicken soup,100,30.0,1.6,0.8,4.0
Clam chowder,100,33.33,1.96,0.78,4.71
Cream soups,100,78.43,2.75,4.71,7.06
Noodle,100,46.0,2.4,1.6,5.2
Split-pea soup,100,58.8,3.2,1.2,10.0
Tomato soup,100,71.43,2.45,2.86,8.98
Vegetable,100,32.0,1.6,0.8,5.6
Apple betty,100,150.0,1.0,4.0,29.0
Bread pudding,100,187.0,5.5,6.0,28.0
Chocolate fudge,100,350.0,4.17,11.67,58.33
Cupcake,100,320.0,6.0,6.0,62.0
Fruit cake,100,350.0,6.67,13.33,56.67
Gingerbread,100,327.27,3.64,12.73,50.91
"Plain, with no icing",100,327.27,7.27,9.09,56.36
Sponge cake,100,287.5,7.5,5.0,55.0
Marshmallows,100,326.67,3.33,0.0,76.67
Milk chocolate,100,517.86,3.57,10.71,78.57
Doughnuts,100,409.09,6.06,21.21,51.52
Ice cream,100,83.33,0.0,0.0,0.0
Ices,100,78.0,0.0,0.0,32.0
preserves,100,275.0,0.0,0.0,70.0
Jellies,100,250.0,0.0,0.0,65.0
Molasses,100,225.0,0.0,0.0,55.0
Cane Syrup,100,250.0,0.0,0.0,65.0
"9"" diam. pie",100,244.44,2.22,9.63,39.26
Cherry Pie,100,251.85,2.22,9.63,40.74
Custard,100,203.85,5.38,8.46,26.15
Lemon meringue,100,250.0,3.33,10.0,37.5
Mince,100,251.85,2.22,6.67,45.93
Pumpkin Pie,100,203.85,3.85,9.23,26.15
Puddings Sugar,100,385.0,0.0,0.0,99.5
3 teaspoons sugar,100,416.67,0.0,0.0,100.0
Syrup,100,250.0,0.0,0.0,62.5
table blends sugar,100,275.0,0.0,0.0,72.5
Tapioca cream pudding,100,134.0,4.0,4.0,16.8
Almonds,100,607.14,18.57,54.29,18.57
roasted and salted,100,627.14,18.57,57.14,18.57
